experiment_type,conditions,results,gene_id,publication_id
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.9, ""time"": ""42h""}","{""measurement"": 1.67, ""p_value"": 0.0177, ""fold_change"": 0.66}",728,84
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.8, ""time"": ""5h""}","{""measurement"": 58.65, ""p_value"": 0.0107, ""fold_change"": -0.88}",336,328
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.3, ""time"": ""47h""}","{""measurement"": 28.63, ""p_value"": 0.0264, ""fold_change"": -0.5}",18,192
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 7.6, ""time"": ""5h""}","{""measurement"": 26.96, ""p_value"": 0.0378, ""fold_change"": -1.42}",974,281
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.6, ""time"": ""34h""}","{""measurement"": 95.54, ""p_value"": 0.0054, ""fold_change"": -4.71}",602,410
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 7.4, ""time"": ""42h""}","{""measurement"": 18.18, ""p_value"": 0.0306, ""fold_change"": -2.4}",760,419
ChIP-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.0, ""time"": ""40h""}","{""measurement"": 30.02, ""p_value"": 0.0117, ""fold_change"": -1.7}",412,50
Metabolomics,"{""temperature"": ""35\u00b0C"", ""ph"": 7.9, ""time"": ""7h""}","{""measurement"": 39.96, ""p_value"": 0.0155, ""fold_change"": 1.02}",249,146
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.9, ""time"": ""38h""}","{""measurement"": 92.55, ""p_value"": 0.0069, ""fold_change"": -2.47}",6,96
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.7, ""time"": ""12h""}","{""measurement"": 35.76, ""p_value"": 0.0137, ""fold_change"": 2.93}",994,206
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.7, ""time"": ""34h""}","{""measurement"": 91.38, ""p_value"": 0.0068, ""fold_change"": -2.59}",193,319
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.0, ""time"": ""43h""}","{""measurement"": 28.72, ""p_value"": 0.013, ""fold_change"": 2.78}",119,95
ATAC-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.5, ""time"": ""30h""}","{""measurement"": 88.99, ""p_value"": 0.0169, ""fold_change"": -3.55}",380,147
ChIP-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.4, ""time"": ""40h""}","{""measurement"": 10.68, ""p_value"": 0.0289, ""fold_change"": 3.19}",565,242
WES,"{""temperature"": ""30\u00b0C"", ""ph"": 6.3, ""time"": ""23h""}","{""measurement"": 62.44, ""p_value"": 0.0148, ""fold_change"": 0.64}",77,171
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.1, ""time"": ""33h""}","{""measurement"": 96.98, ""p_value"": 0.003, ""fold_change"": -2.96}",604,4
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.6, ""time"": ""1h""}","{""measurement"": 71.42, ""p_value"": 0.0032, ""fold_change"": 0.2}",818,372
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.3, ""time"": ""1h""}","{""measurement"": 48.97, ""p_value"": 0.0331, ""fold_change"": -3.35}",954,259
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.4, ""time"": ""13h""}","{""measurement"": 46.61, ""p_value"": 0.0359, ""fold_change"": -1.32}",823,476
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.4, ""time"": ""17h""}","{""measurement"": 56.34, ""p_value"": 0.0257, ""fold_change"": 3.0}",329,162
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.9, ""time"": ""24h""}","{""measurement"": 68.48, ""p_value"": 0.0271, ""fold_change"": -2.42}",448,388
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.1, ""time"": ""37h""}","{""measurement"": 55.07, ""p_value"": 0.0187, ""fold_change"": -2.61}",238,479
RNA-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.4, ""time"": ""38h""}","{""measurement"": 62.2, ""p_value"": 0.0271, ""fold_change"": -3.27}",482,365
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.5, ""time"": ""13h""}","{""measurement"": 27.03, ""p_value"": 0.0417, ""fold_change"": 4.81}",366,355
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""2h""}","{""measurement"": 22.15, ""p_value"": 0.0386, ""fold_change"": -2.88}",750,446
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.7, ""time"": ""4h""}","{""measurement"": 8.8, ""p_value"": 0.0181, ""fold_change"": 2.51}",518,124
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""25h""}","{""measurement"": 61.48, ""p_value"": 0.0113, ""fold_change"": -2.18}",197,323
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""1h""}","{""measurement"": 67.19, ""p_value"": 0.0159, ""fold_change"": 4.16}",289,144
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.6, ""time"": ""27h""}","{""measurement"": 55.93, ""p_value"": 0.0437, ""fold_change"": 4.1}",844,356
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.2, ""time"": ""14h""}","{""measurement"": 52.22, ""p_value"": 0.0373, ""fold_change"": 4.53}",389,61
Proteomics,"{""temperature"": ""32\u00b0C"", ""ph"": 7.3, ""time"": ""27h""}","{""measurement"": 56.74, ""p_value"": 0.042, ""fold_change"": -1.87}",202,12
Metabolomics,"{""temperature"": ""33\u00b0C"", ""ph"": 7.3, ""time"": ""17h""}","{""measurement"": 62.2, ""p_value"": 0.0072, ""fold_change"": -2.64}",140,242
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""43h""}","{""measurement"": 30.96, ""p_value"": 0.0274, ""fold_change"": -0.65}",574,399
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 7.3, ""time"": ""5h""}","{""measurement"": 80.99, ""p_value"": 0.0103, ""fold_change"": -4.55}",145,328
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 7.5, ""time"": ""38h""}","{""measurement"": 38.93, ""p_value"": 0.0089, ""fold_change"": -1.17}",16,432
ChIP-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.2, ""time"": ""9h""}","{""measurement"": 34.02, ""p_value"": 0.0204, ""fold_change"": -2.51}",342,461
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""7h""}","{""measurement"": 20.12, ""p_value"": 0.0288, ""fold_change"": 3.8}",931,224
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.4, ""time"": ""5h""}","{""measurement"": 4.62, ""p_value"": 0.0305, ""fold_change"": -4.46}",429,269
Proteomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.6, ""time"": ""8h""}","{""measurement"": 64.85, ""p_value"": 0.0491, ""fold_change"": -3.51}",662,288
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 8.0, ""time"": ""43h""}","{""measurement"": 25.68, ""p_value"": 0.0197, ""fold_change"": 3.82}",674,496
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 7.4, ""time"": ""18h""}","{""measurement"": 67.97, ""p_value"": 0.0456, ""fold_change"": -0.68}",406,356
Metabolomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.7, ""time"": ""37h""}","{""measurement"": 52.19, ""p_value"": 0.0034, ""fold_change"": 2.05}",415,330
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.7, ""time"": ""35h""}","{""measurement"": 79.99, ""p_value"": 0.0373, ""fold_change"": -3.57}",132,170
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.9, ""time"": ""31h""}","{""measurement"": 41.8, ""p_value"": 0.0186, ""fold_change"": 3.53}",98,72
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""35h""}","{""measurement"": 35.68, ""p_value"": 0.0227, ""fold_change"": 0.02}",40,123
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.2, ""time"": ""43h""}","{""measurement"": 45.94, ""p_value"": 0.0386, ""fold_change"": -4.93}",661,57
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 6.6, ""time"": ""25h""}","{""measurement"": 25.6, ""p_value"": 0.0118, ""fold_change"": 2.89}",461,174
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""20h""}","{""measurement"": 64.62, ""p_value"": 0.0251, ""fold_change"": -0.01}",683,302
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""31h""}","{""measurement"": 16.81, ""p_value"": 0.0236, ""fold_change"": 0.67}",420,79
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.4, ""time"": ""10h""}","{""measurement"": 43.97, ""p_value"": 0.0123, ""fold_change"": 0.11}",271,246
Proteomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""12h""}","{""measurement"": 39.26, ""p_value"": 0.0353, ""fold_change"": -3.19}",770,70
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.3, ""time"": ""18h""}","{""measurement"": 31.11, ""p_value"": 0.0165, ""fold_change"": -4.05}",881,7
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.1, ""time"": ""20h""}","{""measurement"": 86.73, ""p_value"": 0.032, ""fold_change"": 2.19}",971,277
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""20h""}","{""measurement"": 82.59, ""p_value"": 0.0469, ""fold_change"": 0.44}",939,165
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""25h""}","{""measurement"": 73.0, ""p_value"": 0.0092, ""fold_change"": -4.52}",709,276
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.8, ""time"": ""29h""}","{""measurement"": 27.01, ""p_value"": 0.0051, ""fold_change"": -0.98}",812,46
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 7.1, ""time"": ""10h""}","{""measurement"": 93.99, ""p_value"": 0.0123, ""fold_change"": -1.52}",608,81
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""17h""}","{""measurement"": 25.53, ""p_value"": 0.0295, ""fold_change"": -2.42}",23,3
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.3, ""time"": ""12h""}","{""measurement"": 83.0, ""p_value"": 0.0429, ""fold_change"": 2.08}",299,184
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 8.0, ""time"": ""2h""}","{""measurement"": 46.28, ""p_value"": 0.0171, ""fold_change"": 2.47}",751,291
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.6, ""time"": ""28h""}","{""measurement"": 30.56, ""p_value"": 0.0093, ""fold_change"": -3.45}",191,11
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.2, ""time"": ""24h""}","{""measurement"": 81.95, ""p_value"": 0.0058, ""fold_change"": -0.95}",858,45
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.2, ""time"": ""2h""}","{""measurement"": 41.81, ""p_value"": 0.034, ""fold_change"": -4.94}",422,251
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 7.6, ""time"": ""19h""}","{""measurement"": 83.92, ""p_value"": 0.0134, ""fold_change"": -1.25}",132,66
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.4, ""time"": ""8h""}","{""measurement"": 2.89, ""p_value"": 0.0027, ""fold_change"": 0.44}",617,246
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 6.4, ""time"": ""19h""}","{""measurement"": 92.46, ""p_value"": 0.0103, ""fold_change"": -3.25}",741,485
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 7.1, ""time"": ""41h""}","{""measurement"": 91.36, ""p_value"": 0.021, ""fold_change"": -1.79}",613,7
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 8.0, ""time"": ""47h""}","{""measurement"": 38.28, ""p_value"": 0.0402, ""fold_change"": -4.62}",705,68
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""39h""}","{""measurement"": 45.7, ""p_value"": 0.0469, ""fold_change"": -1.94}",833,422
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""27h""}","{""measurement"": 79.37, ""p_value"": 0.0244, ""fold_change"": -2.53}",401,406
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 7.0, ""time"": ""31h""}","{""measurement"": 67.34, ""p_value"": 0.0053, ""fold_change"": -3.99}",19,35
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 6.6, ""time"": ""7h""}","{""measurement"": 28.65, ""p_value"": 0.0019, ""fold_change"": 3.85}",467,13
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 6.7, ""time"": ""19h""}","{""measurement"": 70.18, ""p_value"": 0.0449, ""fold_change"": -0.92}",783,251
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.8, ""time"": ""44h""}","{""measurement"": 21.46, ""p_value"": 0.0037, ""fold_change"": -4.44}",386,51
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.8, ""time"": ""32h""}","{""measurement"": 64.44, ""p_value"": 0.0243, ""fold_change"": -0.95}",314,96
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""10h""}","{""measurement"": 51.66, ""p_value"": 0.0262, ""fold_change"": -1.78}",724,411
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""21h""}","{""measurement"": 40.76, ""p_value"": 0.0364, ""fold_change"": 3.89}",537,188
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.4, ""time"": ""29h""}","{""measurement"": 78.19, ""p_value"": 0.0292, ""fold_change"": -0.83}",651,159
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 7.3, ""time"": ""37h""}","{""measurement"": 28.44, ""p_value"": 0.0395, ""fold_change"": 4.45}",338,12
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 8.0, ""time"": ""35h""}","{""measurement"": 58.95, ""p_value"": 0.0353, ""fold_change"": 1.02}",615,226
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.9, ""time"": ""7h""}","{""measurement"": 90.49, ""p_value"": 0.0408, ""fold_change"": 0.55}",35,210
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.5, ""time"": ""7h""}","{""measurement"": 66.65, ""p_value"": 0.018, ""fold_change"": 0.24}",574,497
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.2, ""time"": ""42h""}","{""measurement"": 97.78, ""p_value"": 0.0358, ""fold_change"": 3.76}",843,381
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 7.3, ""time"": ""34h""}","{""measurement"": 91.4, ""p_value"": 0.0128, ""fold_change"": 4.7}",479,80
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.9, ""time"": ""4h""}","{""measurement"": 63.61, ""p_value"": 0.0013, ""fold_change"": -0.47}",621,29
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""23h""}","{""measurement"": 25.83, ""p_value"": 0.0249, ""fold_change"": -1.94}",243,312
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.7, ""time"": ""22h""}","{""measurement"": 96.11, ""p_value"": 0.0022, ""fold_change"": -4.79}",355,141
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 6.8, ""time"": ""39h""}","{""measurement"": 24.99, ""p_value"": 0.0207, ""fold_change"": -2.95}",821,135
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.7, ""time"": ""1h""}","{""measurement"": 48.1, ""p_value"": 0.0412, ""fold_change"": -4.78}",381,200
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 7.6, ""time"": ""32h""}","{""measurement"": 21.28, ""p_value"": 0.0448, ""fold_change"": -1.97}",358,67
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.9, ""time"": ""19h""}","{""measurement"": 84.25, ""p_value"": 0.0369, ""fold_change"": -1.07}",595,295
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 6.5, ""time"": ""11h""}","{""measurement"": 98.08, ""p_value"": 0.0282, ""fold_change"": -0.54}",525,95
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 6.4, ""time"": ""1h""}","{""measurement"": 29.71, ""p_value"": 0.0482, ""fold_change"": -4.07}",683,101
ChIP-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.6, ""time"": ""8h""}","{""measurement"": 61.3, ""p_value"": 0.0473, ""fold_change"": 4.4}",980,139
Proteomics,"{""temperature"": ""20\u00b0C"", ""ph"": 6.2, ""time"": ""42h""}","{""measurement"": 66.58, ""p_value"": 0.0085, ""fold_change"": 3.17}",598,481
RNA-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.6, ""time"": ""46h""}","{""measurement"": 69.57, ""p_value"": 0.0443, ""fold_change"": 0.86}",661,164
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.6, ""time"": ""43h""}","{""measurement"": 32.46, ""p_value"": 0.05, ""fold_change"": -4.6}",632,52
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.5, ""time"": ""47h""}","{""measurement"": 66.2, ""p_value"": 0.0404, ""fold_change"": -1.04}",769,379
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.3, ""time"": ""16h""}","{""measurement"": 51.62, ""p_value"": 0.0094, ""fold_change"": -2.52}",686,457
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 7.3, ""time"": ""37h""}","{""measurement"": 97.1, ""p_value"": 0.0149, ""fold_change"": 1.59}",356,449
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""40h""}","{""measurement"": 80.91, ""p_value"": 0.0315, ""fold_change"": -0.32}",914,403
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.6, ""time"": ""12h""}","{""measurement"": 75.67, ""p_value"": 0.01, ""fold_change"": 1.21}",538,431
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""6h""}","{""measurement"": 25.45, ""p_value"": 0.0141, ""fold_change"": 1.07}",425,121
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.8, ""time"": ""8h""}","{""measurement"": 27.12, ""p_value"": 0.0264, ""fold_change"": 0.37}",155,230
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.8, ""time"": ""32h""}","{""measurement"": 33.08, ""p_value"": 0.012, ""fold_change"": 0.16}",498,136
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.7, ""time"": ""31h""}","{""measurement"": 46.58, ""p_value"": 0.0485, ""fold_change"": 1.71}",478,69
ChIP-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""1h""}","{""measurement"": 9.12, ""p_value"": 0.0183, ""fold_change"": 1.02}",387,100
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 6.3, ""time"": ""11h""}","{""measurement"": 39.68, ""p_value"": 0.0376, ""fold_change"": -0.14}",786,435
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 8.0, ""time"": ""27h""}","{""measurement"": 25.89, ""p_value"": 0.0052, ""fold_change"": -2.85}",350,316
ATAC-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.9, ""time"": ""37h""}","{""measurement"": 94.86, ""p_value"": 0.0352, ""fold_change"": -4.69}",689,466
RNA-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.7, ""time"": ""4h""}","{""measurement"": 40.28, ""p_value"": 0.0288, ""fold_change"": 2.18}",995,243
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.6, ""time"": ""5h""}","{""measurement"": 81.06, ""p_value"": 0.0477, ""fold_change"": -3.71}",173,320
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.3, ""time"": ""43h""}","{""measurement"": 5.83, ""p_value"": 0.0343, ""fold_change"": -1.0}",424,349
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 6.3, ""time"": ""31h""}","{""measurement"": 83.37, ""p_value"": 0.0353, ""fold_change"": 1.84}",484,414
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.2, ""time"": ""1h""}","{""measurement"": 64.66, ""p_value"": 0.0254, ""fold_change"": -3.32}",521,219
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.6, ""time"": ""27h""}","{""measurement"": 98.16, ""p_value"": 0.01, ""fold_change"": 2.42}",970,234
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 6.4, ""time"": ""8h""}","{""measurement"": 78.17, ""p_value"": 0.0331, ""fold_change"": -0.75}",488,165
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.7, ""time"": ""13h""}","{""measurement"": 82.41, ""p_value"": 0.0316, ""fold_change"": 4.08}",154,77
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 7.4, ""time"": ""27h""}","{""measurement"": 86.47, ""p_value"": 0.0157, ""fold_change"": 1.27}",512,303
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.5, ""time"": ""42h""}","{""measurement"": 46.24, ""p_value"": 0.0335, ""fold_change"": -0.65}",750,140
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.3, ""time"": ""33h""}","{""measurement"": 89.17, ""p_value"": 0.042, ""fold_change"": 3.01}",273,129
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.9, ""time"": ""20h""}","{""measurement"": 75.56, ""p_value"": 0.0471, ""fold_change"": 3.96}",324,433
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.2, ""time"": ""8h""}","{""measurement"": 57.91, ""p_value"": 0.0234, ""fold_change"": 3.71}",21,173
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.9, ""time"": ""23h""}","{""measurement"": 21.55, ""p_value"": 0.0462, ""fold_change"": -1.79}",835,239
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.4, ""time"": ""10h""}","{""measurement"": 4.7, ""p_value"": 0.0473, ""fold_change"": -0.61}",316,289
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.1, ""time"": ""45h""}","{""measurement"": 80.2, ""p_value"": 0.045, ""fold_change"": -3.5}",963,456
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.3, ""time"": ""47h""}","{""measurement"": 23.29, ""p_value"": 0.0115, ""fold_change"": -3.96}",908,463
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.8, ""time"": ""8h""}","{""measurement"": 20.78, ""p_value"": 0.0024, ""fold_change"": 3.27}",123,345
WGS,"{""temperature"": ""29\u00b0C"", ""ph"": 7.2, ""time"": ""35h""}","{""measurement"": 43.64, ""p_value"": 0.0339, ""fold_change"": 1.05}",873,39
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""37h""}","{""measurement"": 78.79, ""p_value"": 0.0225, ""fold_change"": 4.83}",481,174
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.3, ""time"": ""30h""}","{""measurement"": 15.15, ""p_value"": 0.0317, ""fold_change"": -1.9}",736,338
Metabolomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.8, ""time"": ""32h""}","{""measurement"": 36.37, ""p_value"": 0.0083, ""fold_change"": 1.91}",899,29
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 8.0, ""time"": ""12h""}","{""measurement"": 98.75, ""p_value"": 0.0063, ""fold_change"": -2.81}",366,295
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 7.6, ""time"": ""12h""}","{""measurement"": 42.13, ""p_value"": 0.0437, ""fold_change"": 0.69}",132,303
RNA-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.7, ""time"": ""34h""}","{""measurement"": 67.55, ""p_value"": 0.0297, ""fold_change"": 0.39}",85,326
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 8.0, ""time"": ""7h""}","{""measurement"": 9.22, ""p_value"": 0.0134, ""fold_change"": -1.8}",684,148
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.3, ""time"": ""14h""}","{""measurement"": 68.13, ""p_value"": 0.0083, ""fold_change"": 0.74}",711,316
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""12h""}","{""measurement"": 60.61, ""p_value"": 0.0013, ""fold_change"": 1.51}",68,163
Microarray,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""1h""}","{""measurement"": 48.19, ""p_value"": 0.0192, ""fold_change"": 0.04}",672,428
